t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
39.233333333,89.567958195,-1.849701660,41.226860520,48.341097675
39.266666667,89.414459832,-1.864397477,41.121850151,48.292609680
39.300000000,89.260594157,-1.879164967,41.016518296,48.244075860
39.333333333,89.106371707,-1.894003926,40.910870611,48.195501096
39.366666667,88.951803090,-1.908914130,40.804912833,48.146890257
39.400000000,88.796898986,-1.923895329,40.698650784,48.098248203
39.433333333,88.641670147,-1.938947246,40.592090369,48.049579777
39.466666667,88.486127395,-1.954069580,40.485237581,48.000889813
39.500000000,88.330281627,-1.969262003,40.378098499,47.952183127
39.533333333,88.174143809,-1.984524160,40.270679289,47.903464520
39.566666667,88.017724981,-1.999855667,40.162986208,47.854738773
39.600000000,87.861036252,-2.015256113,40.055025601,47.806010651
39.633333333,87.704088804,-2.030725057,39.946803907,47.757284897
39.666666667,87.546893891,-2.046262030,39.838327657,47.708566234
39.700000000,87.389462836,-2.061866531,39.729603475,47.659859362
39.733333333,87.231807035,-2.077538027,39.620638081,47.611168955
39.766666667,87.073937954,-2.093275957,39.511438291,47.562499663
39.800000000,86.915867130,-2.109079724,39.402011019,47.513856110
39.833333333,86.757606169,-2.124948699,39.292363278,47.465242891
39.866666667,86.599166749,-2.140882221,39.182502180,47.416664569
39.900000000,86.440560618,-2.156879593,39.072434938,47.368125680
39.933333333,86.281799593,-2.172940083,38.962168868,47.319630725
39.966666667,86.122895560,-2.189062922,38.851711391,47.271184169
40.000000000,85.963860477,-2.205247308,38.741070031,47.222790446
40.033333333,85.804706368,-2.221492398,38.630252418,47.174453950
40.066666667,85.645445326,-2.237797314,38.519266290,47.126179036
40.100000000,85.486089515,-2.254161136,38.408119495,47.077970020
40.133333333,85.326651163,-2.270582909,38.296819988,47.029831175
40.166666667,85.167142570,-2.287061633,38.185375837,46.981766733
40.200000000,85.007576100,-2.303596271,38.073795220,46.933780879
40.233333333,84.847964185,-2.320185743,37.962086432,46.885877753
40.266666667,84.688319323,-2.336828927,37.850257879,46.838061444
40.300000000,84.528654078,-2.353524656,37.738318084,46.790335994
40.333333333,84.368981082,-2.370271723,37.626275689,46.742705393
40.366666667,84.209313028,-2.387068873,37.514139450,46.695173578
40.400000000,84.049662676,-2.403914808,37.401918245,46.647744430
40.433333333,83.890042849,-2.420808183,37.289621073,46.600421775
40.466666667,83.730466434,-2.437747605,37.177257053,46.553209381
40.500000000,83.570946382,-2.454731638,37.064835426,46.506110956
40.533333333,83.411495703,-2.471758792,36.952365559,46.459130145
40.566666667,83.252127472,-2.488827534,36.839856941,46.412270532
40.600000000,83.092854823,-2.505936276,36.727319188,46.365535635
40.633333333,82.933690951,-2.523083384,36.614762045,46.318928906
40.666666667,82.774649110,-2.540267171,36.502195380,46.272453730
40.700000000,82.615742613,-2.557485899,36.389629194,46.226113419
40.733333333,82.456984832,-2.574737777,36.277073615,46.179911217
40.766666667,82.298389195,-2.592020961,36.164538902,46.133850292
40.800000000,82.139969186,-2.609333556,36.052035447,46.087933739
40.833333333,81.981738347,-2.626673609,35.939573772,46.042164575
40.866666667,81.823710272,-2.644039114,35.827164532,45.996545740
40.900000000,81.665898610,-2.661428010,35.714818518,45.951080093
40.933333333,81.508317064,-2.678838178,35.602546651,45.905770412
40.966666667,81.350979385,-2.696267444,35.490359992,45.860619394
