t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
74.800000000,14.476540136,-0.284547294,6.691063734,7.785476402
74.833333333,14.480202540,-0.283638216,6.694643162,7.785559377
74.866666667,14.483780280,-0.282737445,6.698164284,7.785615996
74.900000000,14.487272099,-0.281845009,6.701626416,7.785645683
74.933333333,14.490676749,-0.280960937,6.705028881,7.785647868
74.966666667,14.493992993,-0.280085254,6.708371008,7.785621985
75.000000000,14.497219602,-0.279217988,6.711652132,7.785567470
75.033333333,14.500355358,-0.278359164,6.714871595,7.785483763
75.066666667,14.503399054,-0.277508807,6.718028745,7.785370309
75.100000000,14.506349491,-0.276666941,6.721122936,7.785226555
75.133333333,14.509205482,-0.275833591,6.724153527,7.785051955
75.166666667,14.511965849,-0.275008780,6.727119886,7.784845963
75.200000000,14.514629427,-0.274192530,6.730021386,7.784608040
75.233333333,14.517195057,-0.273384864,6.732857405,7.784337651
75.266666667,14.519661594,-0.272585803,6.735627330,7.784034265
75.300000000,14.522027904,-0.271795369,6.738330551,7.783697353
75.333333333,14.524292860,-0.271013581,6.740966466,7.783326394
75.366666667,14.526455351,-0.270240462,6.743534480,7.782920871
75.400000000,14.528514272,-0.269476029,6.746034003,7.782480269
75.433333333,14.530468532,-0.268720303,6.748464453,7.782004080
75.466666667,14.532317051,-0.267973303,6.750825251,7.781491800
75.500000000,14.534058757,-0.267235047,6.753115827,7.780942930
75.533333333,14.535692593,-0.266505553,6.755335617,7.780356975
75.566666667,14.537217511,-0.265784840,6.757484063,7.779733447
75.600000000,14.538632475,-0.265072925,6.759560613,7.779071862
75.633333333,14.539936460,-0.264369825,6.761564721,7.778371739
75.666666667,14.541128454,-0.263675557,6.763495848,7.777632606
75.700000000,14.542207454,-0.262990139,6.765353461,7.776853994
75.733333333,14.543172471,-0.262313585,6.767137033,7.776035438
75.766666667,14.544022526,-0.261645914,6.768846044,7.775176482
75.800000000,14.544756653,-0.260987140,6.770479980,7.774276673
75.833333333,14.545373897,-0.260337280,6.772038333,7.773335563
75.866666667,14.545873314,-0.259696349,6.773520602,7.772352712
75.900000000,14.546253974,-0.259064362,6.774926291,7.771327683
75.933333333,14.546514958,-0.258441335,6.776254912,7.770260046
75.966666667,14.546655359,-0.257827283,6.777505982,7.769149377
76.000000000,14.546674281,-0.257222220,6.778679025,7.767995257
76.033333333,14.546570844,-0.256626163,6.779773570,7.766797274
76.066666667,14.546344175,-0.256039125,6.780789155,7.765555020
76.100000000,14.545993418,-0.255461121,6.781725322,7.764268096
76.133333333,14.545517726,-0.254892166,6.782581620,7.762936106
76.166666667,14.544916267,-0.254332275,6.783357605,7.761558662
76.200000000,14.544188219,-0.253781462,6.784052837,7.760135382
76.233333333,14.543332774,-0.253239741,6.784666886,7.758665888
76.266666667,14.542349137,-0.252707127,6.785199325,7.757149812
76.300000000,14.541236526,-0.252183634,6.785649736,7.755586790
76.333333333,14.539994168,-0.251669277,6.786017705,7.753976464
76.366666667,14.538621309,-0.251164071,6.786302826,7.752318483
76.400000000,14.537117202,-0.250668030,6.786504698,7.750612504
76.433333333,14.535481116,-0.250181168,6.786622927,7.748858189
76.466666667,14.533712332,-0.249703501,6.786657126,7.747055206
76.500000000,14.531810145,-0.249235042,6.786606914,7.745203231
76.533333333,14.529773862,-0.248775808,6.786471916,7.743301946
76.566666667,14.527602803,-0.248325812,6.786251763,7.741351040
76.600000000,14.525296301,-0.247885070,6.785946093,7.739350209
76.633333333,14.522853704,-0.247453597,6.785554550,7.737299154
